<b>abate</b><br><span style='color:#7aa2f7'>uh-BAYT</span>	<b>To die down; to lessen in force or intensity.</b><hr>To <b>decrease in force or intensity</b> — and, transitively, to reduce something to a lower level (<i>abate a nuisance</i>, <i>abate the rent</i>).<br><br>What abates is a <b>pressure</b>, not a quantity: storms, pain, fever, noise, panic, criticism, enthusiasm. You wouldn&#x27;t say a crowd abated, but the crowd&#x27;s fury would. It also carries a sense of <i>relief</i> — the thing was pressing on you and has eased off. Register is a notch above plain speech: a newsreader says the floodwaters abated; your friend says the rain let up. Watch for <b>unabated</b>, which is the form you&#x27;ll meet most often on the test — &quot;the shelling continued unabated&quot; = no let-up at all.<hr>⚠️ <b>abate ≠ abet.</b><br>- <b>abate</b> = die down, lessen<br>- <b>abet</b> = <i>help someone do wrong</i> (as in <b>aid and abet</b>)<br><br>One letter, opposite worlds: a storm abates; an accomplice abets.<hr><i>Wait with <b>bated</b> breath — <i>bated</i> is just <b>abated</b> with its head cut off: breath beaten down to nothing.</i><br>Bated breath isn&#x27;t <i>less</i> breath, it&#x27;s breath held under pressure — exactly the kind of force-easing that abate describes.<hr>1. Only when the monsoon <b>abated</b> did the villagers venture back to inspect what the water had taken.<hr>2. Give the ibuprofen twenty minutes — the throbbing should <b>abate</b> enough for you to sleep.<hr><b>Tax abatement</b> is everyday property-market vocabulary: a city knocks down your property tax for a few years to lure you into building there. Same word, same idea — the burden beaten down.<hr>Old French <b>abattre</b> = <i>&quot;to beat down&quot;</i> (Latin <b>battuere</b>, <i>to beat</i>). The storm is literally beaten flat.<br><br>That root is a GRE goldmine: <b>battle</b>, <b>batter</b>, <b>combat</b>, <b>debate</b> (beat an argument about), <b>rebate</b> (a beating-back of the price), and <b>abattoir</b> — the slaughterhouse, where things are beaten down.	g03 register::formal connotation::neutral antonym::swelling-vs-dying-down meaning::dying-down-gradually
<b>aberrant</b><br><span style='color:#7aa2f7'>uh-BER-uhnt</span>	<b>Deviating abnormally from the normal or expected course.</b><hr>Departing from the normal, expected, or proper course — abnormal, deviant, off-pattern.<br><br>The word wears a lab coat. <i>Unusual</i> is neutral, <i>weird</i> is casual, but <b>aberrant</b> measures you against a <b>standard</b> and reports that you failed it: aberrant cells, aberrant data, aberrant behaviour. It&#x27;s the vocabulary of doctors, statisticians and disciplinary reports, so it carries a faint chill — the thing isn&#x27;t just different, it&#x27;s <i>wrong in a way that needs explaining</i>.<hr>⚠️ <b>aberrant ≠ abhorrent.</b><br>- <b>aberrant</b> = <i>deviating</i> from the norm (clinical)<br>- <b>abhorrent</b> = <i>repugnant</i>, morally disgusting (emotional)<br><br>Aberrant conduct puzzles you; abhorrent conduct sickens you.<hr><i><b>ab-ERR-ant</b> — the word literally has <b>err</b> in the middle: it has <i>erred away</i> from the norm.</i><br>Stress the <i>err</i> when you say it and you&#x27;ve said the definition out loud.<hr>1. The audit flagged a handful of <b>aberrant</b> transactions, each one a small departure from a decade of predictable ledgers.<hr>2. One <b>aberrant</b> night out doesn&#x27;t make you a party animal, mate.<hr>Photographers fight <b>chromatic aberration</b> — the purple-green fringing you get when a lens lets colours <i>wander off</i> to slightly different focal points. Same root, visible on your screen.<hr>Latin <b>ab-</b> (<i>away</i>) + <b>errāre</b> (<i>to wander</i>) — literally <i>wandering off</i>.<br><br>That root is a GRE goldmine: <b>err</b>, <b>error</b>, <b>erratic</b>, <b>errant</b>, <b>erroneous</b>, <b>knight-errant</b> (a knight who wanders looking for adventures), and <b>arrant</b> nonsense.	g30 register::formal connotation::negative antonym::textbook-case-vs-off-model-outlier connotation::off-the-norm-and-who-s-judging intensity::off-the-expected-course meaning::off-the-expected-pattern
<b>abet</b><br><span style='color:#7aa2f7'>uh-BET</span>	<b>To help or encourage someone in doing wrong.</b><hr>To <b>help or encourage someone in doing something wrong</b> — supplying the means, the cover, or the push.<br><br>The word is welded to wrongdoing: you can assist a rescue, but you cannot <i>abet</i> one. And it isn&#x27;t passive help — abetting leans toward <b>egging on</b>, the encouragement that makes the deed happen, which is why it sits one notch guiltier than &quot;helped.&quot; In practice it rarely travels alone; the phrase is <b>aid and abet</b>, where <i>aid</i> covers the hands and <i>abet</i> covers the mouth.<hr>⚠️ <b>abet ≠ abate.</b><br>- <b>abet</b> = egg someone on into wrongdoing<br>- <b>abate</b> = die down, lessen (<i>the storm abated</i>)<hr><i><b>A-bet</b>: you don&#x27;t commit the crime — you <i>bet</i> on the guy who does.</i><br>The abettor stays one step back, funding or urging or driving the getaway car, which is exactly why the law needs a word other than <i>commit</i>.<hr>1. The bank&#x27;s compliance officer was accused of <b>abetting</b> the fraud by waving through transfers he knew were fictitious.<hr>2. I&#x27;m on a diet, so don&#x27;t <b>abet</b> me — hide the biscuits.<hr><b>&quot;Aiding and abetting&quot;</b> is the charge read out in every courtroom scene and police procedural — the standard formula for people who didn&#x27;t pull the trigger but made sure it got pulled.<hr>Old French <b>abeter</b> = <i>&quot;to hound on, incite&quot;</i> — literally <b>to bait</b>, as in setting a dog on something. Same root as English <b>bait</b> and <b>bite</b>: the abettor is the one snapping at your heels until you go through with it.	g18 register::legal connotation::negative antonym::helping-it-along-vs-holding-it-back connotation::words-that-carry-the-guilt-inside-them meaning::plotting-together
<b>abeyance</b><br><span style='color:#7aa2f7'>uh-BAY-uhns</span>	<b>Temporary suspension; paused pending something, not cancelled.</b><hr>A state of <b>temporary suspension</b> — something real and still-existing whose operation has been parked, pending a decision, an event, or an heir.<br><br><i>Cancelled</i> kills a thing; <i>dormant</i> is just natural quiet. <b>Abeyance is deliberate and conditional</b>: someone with authority pressed pause, and something specific is expected to restart it. The word is stiffly formal — law, parliaments, boardrooms, HR letters — and lives almost entirely inside the frozen phrases <b>&quot;in abeyance&quot;</b> and <b>&quot;held in abeyance.&quot;</b> You rarely meet it in the wild as a bare noun.<hr>⚠️ <b>abeyance ≠ obeisance</b> (oh-BAY-sunss) — a deep bow or gesture of submission. Nearly identical sound, unrelated sense: one <i>pauses</i> a matter, the other <i>bends the knee</i>.<hr><i><b>Held in a-BAY-ance = held at bay</b> — not driven off, just kept waiting at a distance.</i><br>The sound hook carries the nuance: nothing has been resolved or destroyed, it&#x27;s simply been stopped where it stands until someone lets it come forward.<hr>1. The peerage fell into <b>abeyance</b> in 1712, there being two equal claimants and no way to choose between them.<hr>2. They&#x27;re keeping the whole rebrand <b>in abeyance</b> until we see what the lawyers say.<hr>Standard courtroom and HR wording: a ruling <b>held in abeyance pending appeal</b>, a disciplinary case <b>held in abeyance pending investigation</b> — if you ever see the word at work, it will be in that exact phrase.<hr>Old French <b>abeance</b>, &quot;a gaping, an expectation,&quot; from <b>baer</b> = <i>to gape, to stand open</i>. A medieval estate in abeyance was thought of as <b>sitting open-mouthed, waiting</b> for its rightful owner to appear.<br><br>Same <i>baer</i> gives English <b>bay</b> in <i>bay window</i> — an opening in a wall.	g28 register::formal connotation::neutral antonym::lying-dormant-vs-breaking-out meaning::asleep-but-not-dead
<b>abhor</b><br><span style='color:#7aa2f7'>ab-HOR</span>	<b>To hate with a shudder of moral disgust.</b><hr>To hate something so deeply that it disgusts you — to recoil from it.<br><br>This is the top of the hatred scale, and it&#x27;s <b>moral, not personal</b>. You <i>dislike</i> a colleague, you <i>hate</i> Mondays, but you <b>abhor</b> cruelty, torture, hypocrisy — practices and principles rather than people. It&#x27;s formal, a little lofty, and it says as much about the speaker&#x27;s values as about the thing: whoever abhors something is announcing where their line is.<hr>⚠️ <b>abhorrent ≠ aberrant.</b> <i>Abhorrent</i> = loathsome, disgusting. <i>Aberrant</i> = straying from the normal type. An aberrant result is just odd; an abhorrent one is repellent.<hr><i><b>ab-HOR</b> — you back <b>away</b> (<i>ab-</i>) in <b>horror</b>.</i><br>The word literally has <i>horror</i> sitting inside it, which is exactly the intensity it carries — not mild distaste but a physical flinch.<hr>1. The treaty&#x27;s framers <b>abhorred</b> the very idea of a standing army, seeing in it the seed of tyranny.<hr>2. I <b>abhor</b> group projects — three people vanish and one of us does the whole thing at 2am.<hr><b>&quot;Nature abhors a vacuum.&quot;</b> The old Aristotelian maxim you&#x27;ve heard used about everything from politics to office gossip — nature doesn&#x27;t merely dislike empty space, it rushes in to destroy it.<hr>Latin <b>ab-</b> (<i>away from</i>) + <b>horrēre</b> (<i>to bristle, to shudder</i>) — the hair standing up on your arms. Same root gives you <b>horror, horrid, horrendous, horrific</b>, and <b>abhorrent</b>.	g11 register::formal connotation::negative antonym::craving-vs-recoiling intensity::from-cold-aversion-to-moral-abhorrence meaning::hatred-with-disgust
<b>abide</b><br><span style='color:#7aa2f7'>uh-BEYED</span>	<b>To tolerate, to stick to, or to remain and endure.</b><hr>Three live senses, all descended from one idea — <b>to stay put</b>:<br>1. <b>To tolerate / put up with</b> — <i>I can&#x27;t abide his whining.</i><br>2. <b>abide by</b> — to stick to a rule, ruling, or promise.<br>3. <b>To remain, endure, dwell</b> (archaic/biblical) — <i>a faith that abides.</i><br><br>Sense 1 almost never appears un-negated. Nobody says &quot;I abide his whining&quot;; they say <b>can&#x27;t abide</b>, and it lands harder and more personally than <i>can&#x27;t stand</i> — it suggests a settled, temperamental refusal rather than a flash of irritation. Sense 3 carries a King-James solemnity: what abides is what outlasts. And <i>abide by</i> is the one form fully at home in a contract or a courtroom.<hr><i>You <b>abide</b> in an <b>abode</b> — so what you <i>can&#x27;t</i> abide, you can&#x27;t live with.</i><br>Same root, same idea of staying put: an abode is where you remain, and to abide something is to let it remain near you.<hr>1. The treaty held for a century, its terms <b>abided by</b> even during open hostilities.<hr>2. She can&#x27;t <b>abide</b> people who reply with &#x27;per my last email&#x27;.<hr><b>&quot;The Dude abides.&quot;</b> — the closing line of <i>The Big Lebowski</i>, and a perfect gloss on sense 3: he doesn&#x27;t win anything, he just endures.<hr>Old English <b>ābīdan</b> = <i>&quot;to wait, remain&quot;</i> — from <b>bīdan</b>, &quot;to bide,&quot; which still survives in <b>bide your time</b>. The same root gives <b>abode</b>: the place where you remain.<br><br>That&#x27;s why the senses hang together — tolerating something is letting it stay, and abiding by a rule is standing by it.	g30 register::neutral connotation::neutral antonym::complaining-vs-bearing-it-in-silence antonym::taking-it-back-vs-holding-to-it meaning::do-what-the-rule-says meaning::what-you-will-not-put-up-with second-meaning::innocent-looking-words-that-mean-to-tole
<b>abject</b><br><span style='color:#7aa2f7'>AB-jekt</span>	<b>Degraded to the lowest point; wretched or grovelling.</b><hr><b>1.</b> Sunk to the lowest possible state — utterly wretched, hopeless, degraded: <i>abject poverty, abject misery, abject failure.</i><br><b>2.</b> Of a person&#x27;s behaviour: <b>grovelling</b>, self-abasing, without a shred of dignity: <i>an abject apology, abject surrender.</i><br><br><i>Abject</i> isn&#x27;t just a strong &quot;very bad.&quot; It marks a <b>loss of dignity</b> — the thing or person has been brought so low that there&#x27;s nothing left to salvage. <i>Extreme poverty</i> is a measurement; <b>abject</b> poverty is degrading. And when it describes behaviour it turns faintly contemptuous: an abject apology is one that crawls, and the speaker rather despises the crawling.<hr><i><b>Abject</b> only ever marries misery — abject poverty, abject terror, abject failure, abject apology. There is no abject joy.</i><br>It&#x27;s not a general intensifier you can bolt onto anything, but a word that says <i>this has hit the bottom and lost its dignity there</i>.<hr>1. The report described families living in <b>abject</b> squalor, without water, power, or any prospect of relief.<hr>2. He sent an <b>abject</b> three-page apology, which somehow made everyone think less of him.<hr><b>&quot;Abject poverty&quot;</b> is near-fixed in news and charity-appeal language — the UN, Oxfam, and every foreign-desk report reach for it. If you&#x27;ve heard the word at all, that&#x27;s the phrase it came in.<hr>Latin <b>ab-</b> (<i>away, down</i>) + <b>jacere</b> (<i>to throw</i>) → <i>abjectus</i>, &quot;thrown down.&quot; The abject person has been cast to the floor.<br><br>That root is a GRE goldmine: <b>eject</b> (throw out), <b>reject</b> (throw back), <b>project</b> (throw forward), <b>inject</b>, <b>dejected</b> (thrown down in spirit), <b>conjecture</b> (throw ideas together), <b>trajectory</b> (the path of a throw).	g21 register::formal connotation::negative antonym::peak-vs-rock-bottom meaning::low-and-contemptible root::root:-jacere-jactus-to-throw
<b>abjure</b><br><span style='color:#7aa2f7'>ab-JOOR</span>	<b>To renounce something solemnly, usually under oath.</b><hr>To <b>renounce, repudiate, or give up</b> something formally and solemnly — a belief, a claim, a loyalty, a habit — usually <b>on the record and under oath</b>.<br><br>You can <i>quit</i> a habit privately. To <b>abjure</b> it is to disown it out loud, in a way that binds you: a heretic abjures his heresy, a new citizen abjures foreign allegiance, a reformed man abjures drink. The word carries the weight of ceremony, and often a whiff of pressure — someone made you say it. Compare <b>renounce</b> (neutral, can be quiet) and <b>recant</b> (specifically taking back something you <i>said</i>); abjure covers what you <i>believed in</i> or <i>were bound to</i>.<hr>⚠️ <b>abjure ≠ adjure.</b><br>- <b>abjure</b> = swear <i>away</i> — you reject it<br>- <b>adjure</b> = swear <i>at</i> someone — you earnestly urge or command them<br><br><i>She abjured her old party; then she adjured her friends to leave it too.</i><hr><i><b>Ab-</b> (away, as in <i>absent</i>, <i>abduct</i>) + <b>-jure</b> (swear, as in <i>perjure</i>) — you don&#x27;t just drop it, you <b>swear it away</b>, out loud.</i><br>The <i>-jure</i> is what makes it public and binding: abjuring is a ceremony, not a quiet change of heart.<hr>1. The treaty obliged every signatory to <b>abjure</b> the use of force in settling territorial claims.<hr>2. He&#x27;s <b>abjured</b> caffeine about four times now, and the announcements are getting less convincing.<hr>Galileo, hauled before the Inquisition in 1633, was forced to <b>abjure</b> his belief that the Earth moves around the Sun — kneeling, reading the renunciation aloud, in the classic textbook scene.<hr>Latin <b>ab-</b> (<i>away</i>) + <b>jūrāre</b> (<i>to swear</i>), from <b>jūs, jūris</b> = <i>law, oath</i>.<br><br>That root is a GRE goldmine: <b>perjure</b> (swear falsely), <b>jury</b> (sworn panel), <b>jurisdiction</b> (where your law speaks), <b>jurisprudence</b>, <b>conjure</b> (originally: swear together), and <b>abjure</b>&#x27;s twin <b>adjure</b>.	g03 register::formal connotation::neutral antonym::taking-it-back-vs-holding-to-it intensity::going-without-to-forswearing meaning::publicly-taking-it-back
<b>abound</b><br><span style='color:#7aa2f7'>uh-BOWND</span>	<b>To exist in great numbers; to be plentiful, even overflowing.</b><hr>To exist in <b>great numbers or great quantity</b> — to be plentiful to the point of overflow. Two shapes: <i>opportunities abound</i> (the things abound), or <i>the river abounds in fish</i> (the place abounds <b>in/with</b> them).<br><br>It is stronger than &quot;there are many.&quot; <i>Abound</i> implies the supply is past counting — teeming, everywhere you look. It&#x27;s also strictly intransitive: things abound, but you can never abound something. The word itself is neutral and slightly bookish, so it takes its colour from its subject: <i>wildflowers abound</i> is lush, <i>errors abound</i> is damning, and <i>rumours abound</i> is the journalist&#x27;s polite way of saying nobody has checked.<hr><i><b>abound</b> ≈ <b>&quot;all around&quot;</b> — not just present, but present <i>all around you</i>.</i><br>The near-rhyme carries the nuance: abundance plus everywhere-ness, not a mere count.<hr>1. Theories about the collapse <b>abound</b>, though hard evidence remains scarce.<hr>2. Don&#x27;t stress about lunch — cheap noodle places <b>abound</b> round here.<hr><b>&quot;Rumours abound&quot;</b> is a newsroom reflex — you&#x27;ll meet it in headlines and match reports far more often than in conversation.<hr>Latin <b>abundāre</b> = <i>&quot;to overflow&quot;</i> — <i>ab-</i> (off, away) + <b>unda</b> (<i>wave</i>). The wave breaks past its banks: too much, spilling over.<br><br>That <i>unda</i> pays out across the exam: <b>abundant</b>, <b>inundate</b> (flood in), <b>undulate</b> (move in waves), <b>redundant</b> (literally <i>&quot;overflowing&quot;</i> — surplus to need).<br><br>🚫 Nothing to do with <b>bound</b>. No leaping, no boundary.	g01 register::neutral connotation::neutral antonym::overflowing-supply-vs-shortage meaning::present-in-great-quantity root::root:-unda-wave-via-abund-re-to-overflow
<b>abrasive</b><br><span style='color:#7aa2f7'>uh-BRAY-siv</span>	<b>Harsh and grating in manner; literally, surface-scraping.</b><hr><b>Literally:</b> capable of scraping or wearing down a surface — sandpaper, grit, steel wool. As a noun, the scratchy substance itself.<br><b>Of a person or manner:</b> harsh, rough-edged, irritating to deal with.<br><br>The metaphor does the work: an abrasive person doesn&#x27;t wound you, they <i>wear</i> on you. The fault is texture, not malice — blunt, tactless, no social cushioning. Which is why it&#x27;s the standard HR euphemism for someone effective and unpleasant: &quot;brilliant, but abrasive.&quot; Compare <i>caustic</i> (burns, and means to) or <i>vicious</i> (aims to hurt); abrasive is friction, often unintentional and usually chronic.<hr><i><b>abrasive</b> ≈ <i>a-BRACE-ive</i> — you <b>brace</b> yourself before the meeting.</i><br>Not because they&#x27;ll destroy you, but because half an hour of that scraping leaves you raw.<hr>1. His feedback was accurate in every particular and <b>abrasive</b> in every syllable; the junior staff stopped submitting drafts.<hr>2. Don&#x27;t take it personally — she&#x27;s like that with everyone, just a bit <b>abrasive</b> before her second coffee.<hr>Read the back of a bathroom cleaner or a whitening toothpaste: <b>&quot;non-abrasive&quot;</b> — i.e. it won&#x27;t scratch the enamel. That&#x27;s the whole word in one label, and abrasive people scratch the same way.<hr>Latin <b>ab-</b> (&quot;away&quot;) + <b>rādere</b> (&quot;to scrape&quot;) — to scrape away.<br><br><i>Rādere</i> is a quiet workhorse: <b>erase</b> (scrape out), <b>razor</b> (the scraper), <b>raze</b> (scrape a building to the ground), <b>abrade</b>, <b>rash</b>. Learn the root once, get five words.	g34 register::neutral connotation::negative antonym::tactful-vs-tactless:-manners-not-morals second-meaning::physical-sharpness-verbal-sharpness
